ST1 to PS1,ST1 to PS2,ST1 to PS3,ST1 to PS4,ST1 to PS6,ST1 to PS9,ST1 to PS12,ST1 to PS16,ST1 to PS20,ST1 to PS24
0.250802613,-2.440658291,-2.971250662,-3.439387176,-3.737720617,0.032107708,-1.372850212,-2.76427553,-3.50780583,-3.44095129
-2.076812656,2.74311236,3.407106391,3.886298376,4.066456004,1.080920818,2.60072538,3.190390231,3.81012925,3.965873714
0.251651194,-1.177004009,-1.582624706,-2.253200873,-2.147000751,-0.308093905,-0.50264294,-1.666244176,-1.937370574,-2.359008616
0.206738483,-1.230957936,-2.153390492,-2.182840334,-1.982788828,-0.437453414,-0.798593668,-1.471061865,-2.369131423,-2.021522441
0.212733294,-0.471458795,-1.134383103,-1.779495252,-1.870325574,-0.289703754,-0.352874988,-0.458653315,-1.310971538,-1.712287383
-1.560173427,2.365808931,3.33832233,3.299695977,3.347491293,-0.205670823,2.166093048,3.339758875,3.441291104,3.310372896
0.419276695,-1.124273477,-2.709449347,-3.618716456,-3.94264346,-0.37322433,-0.687898367,-1.595564358,-3.135771972,-3.706793924
0.110275544,-0.968171323,-2.703315327,-2.776300483,-3.288392019,-0.25031276,-0.535348163,-1.560778398,-3.004389331,-3.024135893
-0.231536621,0.67438687,1.621081919,1.762369338,1.449356465,0.150118021,0.450494341,1.268690466,1.788484663,1.587771722
0.116554159,-0.253846966,-1.172013171,-1.713746019,-1.938351918,-0.164664743,-0.27294594,-0.475382442,-1.407504027,-1.713873598
-0.166868533,-0.119944949,-1.418810743,-1.371513765,-1.569956608,-0.053745259,0.099415896,-0.479626648,-1.275396029,-1.325544688
0.204119895,-0.583366938,-1.355442407,-1.220053417,-1.377574036,0.157573782,-0.315416785,-1.108930584,-1.15046869,-1.286850798
0.201304227,-0.584069515,-1.298753273,-1.22435616,-1.318949299,-0.131287786,-0.38018977,-1.103294389,-1.231111847,-1.183128513
0.162176766,-0.782937604,-2.284453969,-2.103487207,-2.496368087,-0.220838453,-0.562920696,-1.468199343,-2.204763692,-2.272256459
-0.284037072,-0.342757739,-1.617512329,-2.027456037,-2.255974275,-0.161770539,0.071942384,-0.917426179,-1.757742425,-2.172947276
0.201845599,-2.262413587,-2.149778489,-2.407081977,-2.430530471,0.199840026,-1.536045798,-1.887824331,-2.314256021,-2.325705778
0.222931178,-0.535439527,-1.87636729,-3.060141385,-3.049375494,-0.16161371,-0.391909561,-0.824283652,-2.723602054,-3.090519099
1.065066405,-3.279717787,-5.457972953,-5.779941344,-5.907268599,-1.277532154,-2.075437121,-4.871962544,-6.134740011,-5.890326702
-0.598806003,2.355783827,3.135058607,3.755013203,4.198605651,0.09306797,2.068698559,2.619725607,3.528872779,3.832091504
2.721665553,-2.742326114,-2.790792658,-3.025283243,-3.163536777,-0.648236611,-3.26120802,-3.550273007,-2.798641861,-2.827558998
-1.847321756,3.85929867,5.132336108,5.045373759,5.209819326,1.963641026,3.28846976,4.89370056,5.031497556,5.000050575
-0.678305389,1.289241698,2.297980405,2.54884834,2.643547369,0.025411811,1.085865908,1.852121365,2.467194098,2.444740457
0.340039576,-1.224676865,-2.452498749,-3.19669852,-3.092140121,-0.599880831,-0.767833475,-1.899245974,-3.058548018,-3.244186812
0.42928402,-0.740799876,-1.582917459,-2.581749836,-2.933883404,-0.422491092,-0.480893602,-1.19711251,-2.270634193,-2.665948034
0.196222633,-0.355006322,-0.798030643,-1.169892134,-1.454596506,-0.137027056,-0.249986765,-0.371060381,-0.909524184,-1.268495561
0.27629796,-0.795034179,-1.220828675,-1.637359553,-1.725669271,-0.203444527,-0.681096515,-0.893764332,-1.49885982,-1.658541509
-0.086057248,0.345033849,0.882718467,1.028833112,1.081303383,0.060652815,0.210389772,0.538398393,0.925159135,1.100908279
0.002209829,0.586377079,1.505907873,1.670685835,1.981671078,0.038929792,0.452213347,1.056572399,1.501583943,1.734607635
-0.637986594,1.230973437,2.187068262,1.977385233,2.090688641,0.451232904,1.04124731,1.745356114,1.976507163,1.901178022
